Date,Airbus_price,Airbus_ret,LVMH_price,LVMH_ret,Stellantis_price,Stellantis_ret,CAC40_price,CAC40_ret,TariffEvent
2018-01-03,76.7168630380704,0.01391796917442514,214.3512783575914,-0.011858573279408173,3.306720495223999,0.0,5347.6298828125,0.005416972927792964,0
2018-01-04,78.02190744082327,0.01686811059181281,217.790050437255,0.01591537044333527,3.306720495223999,0.0,5430.72021484375,0.015418311211136218,0
2018-01-05,78.14879788407718,0.0016250227072128667,220.08256424945557,0.010471240641763196,3.306720495223999,0.0,5470.75,0.0073439571507471916,0
2018-01-08,78.50225067138672,0.004512620762778974,218.6717596423116,-0.006430976938993102,3.306720495223999,0.0,5499.14990234375,0.005177798529741625,0
2018-01-09,79.07321180571564,0.0072468596837829136,218.7158675560266,0.00020168798165160943,3.306720495223999,0.0,5525.669921875,0.004810975799266857,0
2018-01-10,81.81923780176845,0.034138241874490806,217.128731830061,-0.0072830671470544535,3.306720495223999,0.0,5529.2998046875,0.0006566970390208075,0
2018-01-11,83.28741958533286,0.01778511547244339,213.82223919345745,-0.015345400026651178,3.306720495223999,0.0,5516.58984375,-0.0023013024665911874,0
2018-01-12,82.24519913605548,-0.012592493605718392,213.95446611783515,0.0006182053718547565,3.306720495223999,0.0,5520.18017578125,0.0006506128426241723,0
2018-01-15,82.23613068488775,-0.00011026724050424917,214.88031497355607,0.004317981353559803,3.306720495223999,0.0,5525.009765625,0.0008745146397963604,0
2018-01-16,81.81018036841132,-0.005193061288478305,215.49750887991,0.0028681511697285634,3.306720495223999,0.0,5535.9501953125,0.001978206827238155,0
2018-01-17,81.83736484004726,0.00033223195436694105,215.54162025619183,0.00020467458035301094,3.306720495223999,0.0,5518.39013671875,-0.003177045908971358,0
2018-01-18,83.8855694902408,0.02471967993860433,214.88030175633375,-0.003072887259776903,3.306720495223999,0.0,5515.16015625,-0.0005854834527877287,0
2018-01-19,84.17557919602955,0.003451243739751995,213.2050059652148,-0.007826964922503593,3.306720495223999,0.0,5528.89013671875,0.0024864043857090964,0
2018-01-22,84.75558815760932,0.006866835170578502,214.57169153379783,0.006389736638641989,3.306720495223999,0.0,5543.06005859375,0.002559608625641873,0
2018-01-23,85.19061301150597,0.005119570794410462,216.6437810183679,0.009610533781968323,3.306720495223999,0.0,5567.02978515625,0.004314954080530487,0
2018-01-24,83.6861887786239,-0.017817296582747704,216.15880821704948,-0.0022410818066238673,3.306720495223999,0.0,5538.580078125,-0.005123495173282047,0
2018-01-25,82.28144515907546,-0.016928326714091686,215.1889514832147,-0.004496874488782392,3.306720495223999,0.0,5525.759765625,-0.002317412230384043,0
2018-01-26,81.3479859562132,-0.011409552948891073,223.21274149840548,0.03660882816590026,3.306720495223999,0.0,5539.77001953125,0.002532235087639306,0
2018-01-29,82.32675081663426,0.011960019569757403,224.31493698343016,0.00492571863837796,3.306720495223999,0.0,5537.52978515625,-0.0004044730114812595,0
2018-01-30,82.39926429426356,0.0008804132396988929,223.69770831477135,-0.0027554090968227286,3.306720495223999,0.0,5518.93994140625,-0.003362711919321553,0
2018-01-31,84.07587777497812,0.020143189544293415,224.49129597200147,0.0035413117189283826,3.306720495223999,0.0,5496.77978515625,-0.004023375084565873,0
2018-02-01,84.46558525831131,0.0046244784023640175,223.91813018520784,-0.002556440902059935,3.306720495223999,0.0,5529.39990234375,0.0059168657285195185,0
2018-02-02,81.81925061809473,-0.031831622803884095,221.7578915762988,-0.009694286528888891,3.306720495223999,0.0,5437.259765625,-0.016804078486366378,0
2018-02-05,79.0188339100092,-0.03482632557317623,217.7900310040724,-0.018054770153548408,3.306720495223999,0.0,5332.77001953125,-0.019404407748854456,0
2018-02-06,78.97351731920521,-0.000573655518057075,211.4855971946609,-0.02937454032302063,3.306720495223999,0.0,5226.1298828125,-0.020199786667916945,0
2018-02-07,80.16979988168819,0.015034311417786102,216.86424752649927,0.025114672546368608,3.306720495223999,0.0,5267.8798828125,0.007956962345104023,0
2018-02-08,79.80728696481653,-0.004532068241869621,214.8803439757219,-0.009190236789320684,3.306720495223999,0.0,5248.43994140625,-0.003697103905969766,0
2018-02-09,77.43283101288434,-0.030203951682647664,211.00060936577796,-0.018220312092818398,3.306720495223999,0.0,5155.8701171875,-0.01779498428232233,0
2018-02-12,76.12778589174007,-0.016997542313251512,213.95448187881524,0.013902269435450492,3.306720495223999,0.0,5165.75,0.0019144060172275347,0
2018-02-13,76.13685652803068,0.00011914304144651502,213.16092089859384,-0.0037159132552270022,3.306720495223999,0.0,5155.22021484375,-0.0020404649156917395,0
2018-02-14,76.5627975490229,0.005578822405183208,213.734034361567,0.002685034340316,3.306720495223999,0.0,5188.14013671875,0.0063654425471938005,0
2018-02-15,84.71028598388425,0.10112574738620243,215.40933227539065,0.007807677128659101,3.306720495223999,0.0,5255.080078125,0.012819964883099328,0
2018-02-16,86.64067190780337,0.02253232335893479,219.2448961502747,0.01764926319472017,3.306720495223999,0.0,5291.47998046875,0.0069027335306425285,0
2018-02-19,87.22975328006078,0.006776122225877773,219.55351469595027,0.0014066532099254031,3.306720495223999,0.0,5297.3701171875,0.0011125168969139982,0
2018-02-20,88.33541719621543,0.012595647883309571,216.9523974366573,-0.011918042690481743,3.306720495223999,0.0,5291.81005859375,-0.0010501396732172073,0
2018-02-21,88.68886035166528,0.003993165570215717,217.52549743652344,0.0026381104263707004,3.306720495223999,0.0,5303.81005859375,0.0022650878377863683,0
2018-02-22,88.81574144832307,0.0014296093394866364,216.51151872080783,-0.004672322970695849,3.306720495223999,0.0,5321.18994140625,0.0032715102707925234,0
